temperature,humidity,airflow,openness,Q
28.23,19.809056,43,0.43,0
28.21,19.78780303,43,0.43,0
28.21,19.81311371,43,0.43,0
28.19,19.76909754,43,0.43,0
28.15,19.71155378,43,0.42,0
28.13,19.63751183,43,0.43,0
28.14,19.69719183,43,0.43,0
28.14,19.75263572,43,0.42,0
28.15,19.76955446,43,0.41,0
28.17,19.85646394,43,0.43,0
28.17,19.88424696,43,0.43,0
28.15,19.91081734,43,0.43,0
28.14,19.94172104,43,0.43,0
28.13,19.97006319,43,0.43,0
28.12,20.01600315,43,0.42,0
28.13,20.06081885,43,0.43,0
28.14,20.11577796,43,0.43,0
28.14,20.10568513,43,0.43,0
28.13,20.13394625,43,0.43,0
28.09,20.09562655,43,0.43,0
28.06,20.03428035,43,0.43,0
28.08,20.06091424,43,0.43,0
28.09,20.08556371,43,0.43,0
28.08,20.09108381,43,0.43,0
28.07,20.04633701,43,0.43,0
28.08,20.08605535,43,0.43,0
28.08,20.08856957,43,0.43,0
28.11,20.14500685,43,0.43,0
28.12,20.182335,43,0.43,0
28.11,20.20295072,43,0.43,0
28.11,20.25082528,43,0.43,0
28.14,20.36062636,43,0.43,0
28.14,20.39598072,43,0.43,0
28.15,20.47649132,43,0.43,0
28.14,20.55007017,43,0.43,0
28.13,20.56548461,43,0.42,0
28.09,20.58153381,43,0.43,0
28.07,20.62723438,43,0.43,0
28.04,20.61261442,43,0.43,0
28.03,20.63284693,43,0.43,0
28.05,20.70549129,43,0.43,0
28.04,20.70558928,43,0.43,0
28.02,20.69069905,43,0.43,0
28.01,20.73092243,43,0.43,0
28,20.7786194,43,0.43,0
27.97,20.74859595,43,0.43,0
27.94,20.7236036,43,0.43,0
27.97,20.80868066,43,0.43,0
27.95,20.75110182,43,0.43,0
28,20.83379822,43,0.43,0
27.98,20.76360973,43,0.41,0
28,20.75604897,43,0.43,0
27.98,20.71852518,43,0.43,0
27.97,20.75360258,43,0.43,0
27.95,20.75610265,43,0.43,0
27.94,20.76608472,43,0.43,0
27.97,20.75860929,43,0.43,0
27.98,20.77112444,43,0.43,0
27.99,20.76108881,43,0.43,0
28.02,20.80367578,43,0.43,0
28.04,20.80864691,43,0.43,0
28.04,20.77596652,43,0.42,0
28.02,20.67061845,43,0.42,0
27.99,20.56064618,43,0.43,0
27.98,20.46566803,43,0.42,0
28.01,20.45755736,43,0.43,0
28.03,20.41695934,43,0.43,0
28.1,20.48553746,43,0.43,0
28.14,20.50206717,43,0.43,0
28.21,20.54038189,43,0.42,0
28.35,20.68584626,43,0.41,0
28.32,20.46219202,43,0.43,0
28.34,20.45357229,43,0.43,0
28.42,20.52897567,43,0.43,0
28.52,20.64483041,43,0.43,0
28.63,20.77371915,43,0.43,0
28.71,20.80041357,43,0.43,0
28.73,20.74162857,43,0.43,0
28.75,20.75078448,43,0.43,0
28.78,20.88260606,43,0.41,0
28.75,20.93682136,43,0.43,0
28.72,21.0012513,43,0.43,0
28.65,20.9393363,43,0.43,0
28.64,21.00752168,43,0.43,0
28.6,21.00134158,43,0.43,0
28.54,20.98022472,43,0.42,0
28.51,21.02777846,43,0.43,0
28.5,21.09526405,43,0.43,0
28.43,21.06335666,43,0.43,0
28.4,21.1076331,43,0.43,0
28.39,21.14631366,43,0.43,0
28.37,21.15425208,43,0.43,0
28.36,21.15691989,43,0.43,0
28.35,21.14676357,43,0.43,0
28.33,21.11366579,43,0.43,0
28.32,21.10352866,43,0.43,0
28.34,21.09819957,43,0.43,0
28.34,21.03675077,43,0.43,0
28.34,21.0034709,43,0.43,0
28.32,20.97055697,43,0.43,0
28.29,20.89703282,43,0.43,0
28.27,20.85662137,43,0.43,0
28.24,20.81393212,43,0.43,0
28.2,20.76644134,43,0.43,0
28.23,20.82683515,43,0.43,0
28.23,20.81920886,43,0.43,0
28.23,20.80141488,43,0.43,0
28.24,20.78849807,43,0.43,0
28.29,20.82814762,43,0.43,0
28.31,20.83788598,43,0.43,0
28.3,20.82280799,43,0.41,0
28.28,20.75954333,43,0.43,0
28.33,20.85784304,43,0.43,0
28.34,20.82433082,43,0.43,0
28.34,20.81153892,43,0.43,0
28.4,20.87388117,43,0.43,0
28.44,20.92668112,43,0.42,0
28.51,20.97348811,43,0.43,0
28.53,20.9883373,43,0.43,0
28.54,20.94656169,43,0.42,0
28.54,20.95691917,43,0.43,0
28.53,20.92881511,43,0.43,0
28.55,20.87106005,43,0.42,0
28.59,20.88227468,43,0.43,0
28.64,20.91896735,43,0.43,0
28.69,20.93999965,43,0.43,0
28.72,20.97246597,43,0.43,0
28.69,20.89560013,43,0.41,0
28.69,20.89560013,43,0.43,0
28.73,20.95886057,43,0.43,0
28.71,20.91282722,43,0.43,0
28.69,20.82509584,43,0.43,0
28.72,20.80503884,43,0.42,0
28.76,20.77370606,43,0.43,0
28.78,20.70414772,43,0.43,0
28.78,20.607087,43,0.43,0
28.83,20.63467973,43,0.43,0
